[1, 'Gloomhaven', 174430]
[3, 'Terraforming Mars', 167791]
[4, 'Through the Ages: A New Story of Civilization', 182028]
[5, 'Brass: Birmingham', 224517]
[9, 'Gaia Project', 220308]
[11, 'Great Western Trail', 193738]
[20, 'Viticulture Essential Edition', 183394]
[23, 'A Feast for Odin', 177736]
[27, 'Food Chain Magnate', 175914]
[28, 'Agricola', 31260]
[28, 'Wingspan', 266192]
[30, 'Mansions of Madness: Second Edition', 205059]
[36, 'Through the Ages: A Story of Civilization', 25613]
[42, 'Le Havre', 35677]
[48, 'Anachrony', 185343]
[54, 'Caylus', 18602]
[55, 'Lords of Waterdeep', 110327]
[58, 'Clank!: A Deck-Building Adventure', 201808]
[64, 'Dominion: Intrigue', 40834]
[68, 'Lisboa', 161533]
[68, 'Troyes', 73439]
[71, 'Teotihuacan: City of Gods', 229853]
[72, 'Too Many Bones', 192135]
[73, 'Roll for the Galaxy', 132531]
[79, 'Everdell', 199792]
[82, 'Dominion', 36218]
[84, 'Raiders of the North Sea', 170042]
[91, 'Yokohama', 196340]
[94, 'Forbidden Stars', 175155]
[100, 'Legendary Encounters: An Alien Deck Building Game', 146652]
[110, 'Clank! In! Space!', 233371]
[115, 'Ora et Labora', 70149]
[116, 'Dinosaur Island', 221194]
[119, 'Suburbia', 123260]
[123, 'Nations', 126042]
[134, 'Near and Far', 195421]
[140, 'Ticket to Ride: Nordic Countries', 31627]
[142, 'Xia: Legends of a Drift System', 82222]
[144, 'Splendor', 148228]
[148, 'Legendary: A Marvel Deck Building Game', 129437]
[149, 'La Granja', 146886]
[151, 'Zombicide: Black Plague', 176189]
[157, 'Viticulture', 128621]
[158, 'Ra', 12]
[162, "Kanban: Driver's Edition", 109276]
[165, 'Coimbra', 245638]
[171, 'Isle of Skye: From Chieftain to King', 176494]
[173, 'Lewis & Clark', 140620]
[176, 'Glory to Rome', 19857]
[186, 'Exit: The Game – The Abandoned Cabin', 203420]
[193, 'Samurai', 3]
[196, 'Alien Frontiers', 48726]
[197, 'Fury of Dracula (Third/Fourth Edition)', 181279]
[200, 'Antiquity', 13122]
[205, 'Roll Player', 169426]
[207, 'Burgle Bros.', 172081]
[208, 'Rococo', 144344]
[212, 'Above and Below', 172818]
[228, 'Bruges', 136888]
[234, 'Century: Spice Road', 209685]
[237, 'Century: Golem Edition', 232832]
[243, 'Takenoko', 70919]
[245, 'Tiny Epic Galaxies', 163967]
[250, 'Notre Dame', 25554]
[253, 'Clash of Cultures', 40765]
[254, 'San Juan', 8217]
[276, 'Tapestry', 286096]
[278, 'Altiplano', 234487]
[281, 'Macao', 55670]
[285, 'Azul: Stained Glass of Sintra', 256226]
[286, 'San Juan (Second Edition)', 166669]
[288, 'Maria', 40354]
[301, 'Millennium Blades', 151347]
[306, 'Firefly: The Game', 138161]
[313, 'Gùgōng', 250458]
[313, 'Pandemic: The Cure', 150658]
[318, 'Gizmos', 246192]
[328, 'Space Base', 242302]
[329, 'Santa Maria', 229220]
[330, 'Dominion (Second Edition)', 209418]
[331, 'London', 65781]
[334, 'Biblios', 34219]
[345, 'Sword & Sorcery', 170771]
[360, 'Freedom: The Underground Railroad', 119506]
[362, 'Pathfinder Adventure Card Game: Rise of the Runelords – Base Set', 133038]
[366, 'Photosynthesis', 218603]
[368, 'Ginkgopolis', 128271]
[376, 'Vikings', 27173]
[377, 'Tales of the Arabian Nights', 34119]
[379, 'Elysium', 163968]
[380, 'Newton', 244711]
[389, 'Downforce', 215311]
[392, 'Thurn and Taxis', 21790]
[415, 'Pandemic: Fall of Rome', 260428]
[419, 'Argent: The Consortium', 144797]
[426, 'Zombicide', 113924]
[428, 'London (Second Edition)', 236191]
[428, 'Port Royal', 156009]
[430, 'Carpe Diem', 245934]
[431, 'Thunderstone Advance: Towers of Ruin', 116998]
[438, 'Triumph & Tragedy', 130960]
[439, 'Alhambra', 6249]
[443, 'Trains', 121408]
[445, 'Carcassonne: Hunters and Gatherers', 4390]
[450, 'Thebes', 30869]
[451, 'Star Wars: Outer Rim', 271896]
[465, 'Through the Desert', 503]
[469, 'PARKS', 266524]
[469, 'Shakespeare', 180511]
[474, 'Maracaibo', 276025]
[476, 'Black Orchestra', 156858]
[485, 'Specter Ops', 155624]
[488, 'Valeria: Card Kingdoms', 170561]
[491, 'Steampunk Rally', 162007]
[497, 'Eminent Domain', 68425]
[501, 'Nusfjord', 234277]
[504, 'K2', 73761]
[509, 'Horrified', 282524]
[510, 'Middle-Earth Quest', 31563]
[511, 'Shipyard', 55600]
[517, 'Yspahan', 22345]
[517, 'Zombicide Season 2: Prison Outbreak', 137988]
[527, 'Cacao', 171499]
[533, 'Churchill', 132018]
[534, 'Coal Baron', 143515]
[538, 'The Oracle of Delphi', 193558]
[554, 'The Taverns of Tiefenthal', 269207]
[556, 'Cartographers: A Roll Player Tale', 263918]
[558, 'Pax Renaissance', 198953]
[566, 'Dungeons & Dragons: The Legend of Drizzt Board Game', 91872]
[568, 'Zombicide: Green Horde', 224710]
[576, 'Blackout: Hong Kong', 262215]
[583, 'Star Trek: Ascendancy', 193949]
[586, 'Brew Crafters', 139898]
[589, 'Legendary: A Marvel Deck Building Game – Villains', 156689]
[591, 'Blue Moon City', 21882]
[602, 'Reef Encounter', 12962]
[614, 'Carcassonne: The City', 12902]
[619, 'Ex Libris', 201825]
[626, 'San Marco', 1041]
[630, 'Web of Power', 491]
[632, 'Thunderstone', 53953]
[638, 'Core Worlds', 98351]
[642, 'Hawaii', 106217]
[649, 'Dungeons & Dragons: Wrath of Ashardalon Board Game', 66356]
[652, 'The Pursuit of Happiness', 181687]
[654, 'Pipeline', 256730]
[660, 'Crusaders: Thy Will Be Done', 170624]
[662, 'AuZtralia', 231581]
[674, 'Legendary Encounters: A Predator Deck Building Game', 174570]
[677, 'Fantasy Realms', 223040]
[680, 'Discoveries: The Journals of Lewis and Clark', 171669]
[684, 'Rhino Hero', 91514]
[685, 'Thunderstone: Dragonspire', 85897]
[691, "Can't Stop", 41]
[693, 'Unfair', 179172]
[697, 'Merchant of Venus (second edition)', 131646]
[697, 'Wasteland Express Delivery Service', 195560]
[701, 'Zombicide Season 3: Rue Morgue', 161866]
[709, 'Automobiles', 180680]
[720, 'Gold West', 154086]
[725, 'Disney Villainous', 256382]
[729, 'Cottage Garden', 204027]
[730, 'Pandemic: Rising Tide', 234671]
[739, 'Rhino Hero: Super Battle', 218333]
[741, 'DC Comics Deck-Building Game', 125678]
[746, 'Villagers', 241724]
[749, 'Firenze', 75449]
[750, 'Islebound', 185589]
[754, 'The Big Book of Madness', 171233]
[759, 'Railroad Revolution', 207691]
[761, 'China', 18100]
[767, 'Smash Up', 122522]
[768, 'Via Nebula', 191231]
[770, 'Dale of Merchants', 176165]
[771, "Hey, That's My Fish!", 8203]
[797, 'Black Angel', 230244]
[810, 'Pathfinder Adventure Card Game: Skull & Shackles – Base Set', 151007]
[812, 'Caylus Magna Carta', 27364]
[818, 'CO₂: Second Chance', 214887]
[819, 'Runebound (Second Edition)', 21523]
[829, 'Peloponnes', 42910]
[831, 'Vikings Gone Wild', 187377]
[833, 'Unlock! Squeek & Sausage', 216092]
[836, 'Cthulhu: Death May Die', 253344]
[849, 'Istanbul: The Dice Game', 235488]
[851, 'Fortune and Glory: The Cliffhanger Game', 95103]
[854, 'Dream Home', 194880]
[857, 'Escape Room: The Game', 204836]
[863, 'Railroad Ink: Blazing Red Edition', 251678]
[866, 'Java', 855]
[867, 'Guildhall', 132372]
[873, 'Carcassonne: South Seas', 147303]
[880, 'Rallyman', 60435]
[884, 'Azul: Summer Pavilion', 287954]
[884, 'Empires of the Void II', 218509]
[885, 'Arkadia', 25643]
[888, 'Colossal Arena', 105]
[899, 'Three Kingdoms Redux', 145371]
[902, 'Viceroy', 157526]
[903, 'Rise of Augustus', 137297]
[909, 'Dungeon Fighter', 102548]
[915, 'Dead Men Tell No Tales', 141423]
[924, 'Century: A New World', 270970]
[925, 'Chimera Station', 163642]
[928, 'Lowlands', 242804]
[931, 'Sticheln', 354]
[936, 'Thunderbirds', 160610]
[940, 'Jump Drive', 205597]
[942, 'Tiny Epic Zombies', 244536]
[948, 'SpaceCorp', 214029]
[951, 'Glen More II: Chronicles', 265188]
[951, 'Merlin', 230933]
[952, 'Ulm', 191876]
[958, 'The Magic Labyrinth', 41916]
[964, 'Welcome to the Dungeon', 150312]
[967, 'The Game', 173090]
[968, 'Amyitis', 29934]
[973, 'Sentient', 223855]
[982, 'Luxor', 245643]
[982, 'Mythos Tales', 126100]
[983, 'Crown of Emara', 256570]
[985, 'Villages of Valeria', 180040]
[987, 'Cartagena', 826]
